risk_score,category,domain,content_type,title_guess,url,file_path,document_id,text_length,source,extraction_method,parse_date,dei_keywords,proxy_keywords,binding_keywords,applicability_tags
2,Other third-party,www.osba.org,application/rss+xml; charset=UTF-8,"<?xml version=""1.0"" encoding=""UTF-8""?><rss version=""2.0"" xmlns:content=""http://purl.org/rss/1.0/modules/content/"" xmlns:wfw=""http://wellformedweb.org/CommentAPI",https://www.osba.org/feed/,research_results/documents/parsed/592c84071aa2e1e2c199fe14a36d610c.txt,592c84071aa2e1e2c199fe14a36d610c,51615,third_party:www.osba.org,,,equity; underserved; diversity,,statewide; rule; policy; contract; must; compliance; required,hiring; procurement; training; housing; community engagement
2,Infrastructure noise,schema.org,text/html,VideoObject - Schema.org Type Note : You are viewing the development version of Schema.org . See how we work for more details. Schema.org Docs Schemas Validate ,https://schema.org/VideoObject,research_results/documents/parsed/5184c7c35874f7f32dd9b11fd5c0851e.txt,5184c7c35874f7f32dd9b11fd5c0851e,50333,third_party:schema.org,,,accessibility; diversity,,applicable to; standard; required,hiring; procurement; training; housing
2,Infrastructure noise,schema.org,text/html,ImageObject - Schema.org Type Note : You are viewing the development version of Schema.org . See how we work for more details. Schema.org Docs Schemas Validate ,https://schema.org/ImageObject,research_results/documents/parsed/2195e7212f1c4ad1e4ee1c0bb15a46b1.txt,2195e7212f1c4ad1e4ee1c0bb15a46b1,37079,third_party:schema.org,,,accessibility; diversity,,applicable to; standard; required,hiring; procurement; training; housing
2,Government/operations (PDF),,,NOTE: This PDF is an excerpt from the Oregon Department of Administrative Services' 2021 DEI Action,file://research_results/documents/raw/ffb8613e7bb63a09a1349a4f4cd7e90b.pdf,research_results/documents/parsed/ffb8613e7bb63a09a1349a4f4cd7e90b.txt,ffb8613e7bb63a09a1349a4f4cd7e90b,26474,third_party:batch_parallel,ocrmypdf_force+pdftotext,2025-12-31T03:32:04.875183,equity; inclusion; social justice; diversity; minority; underrepresented; inclusive; equitable; racial justice; underserved; cultural humility; people of color; accessibility; dei,,policy; must; standard; required,hiring; training; housing; community engagement
2,Infrastructure noise,en.wikipedia.org,text/html; charset=UTF-8,RDFa - Wikipedia Jump to content Main menu Main menu move to sidebar hide Navigation Main page Contents Current events Random article About Wikipedia Contact us,https://en.wikipedia.org/wiki/RDFa,research_results/documents/parsed/70cd1c5a92bcf53af2ccfbe1bb03108d.txt,70cd1c5a92bcf53af2ccfbe1bb03108d,22250,third_party:en.wikipedia.org,,,accessibility,,rule; policy; standard; required,hiring; housing
2,Other third-party,paycom.com,text/html; charset=UTF-8,Terms of use | Paycom Skip to Main Content Client Employee Accountant Paycom® Logo Login careers investors contact Request meeting Our Solution Overview Payroll,https://www.paycom.com/terms-of-use/,research_results/documents/parsed/4fada016a1e7290916d8640a92a5bb4b.txt,4fada016a1e7290916d8640a92a5bb4b,21400,third_party:paycom.com,,,accessibility,,shall; standard; policy; agreement; governing; must; regulation; compliance,hiring; procurement; training; housing
2,Infrastructure noise,www.drupal.org,text/html; charset=utf-8,"Values & Principles | Drupal.org Skip to main content Skip to search Can we use first and third party cookies and web beacons to understand our audience, and to",https://www.drupal.org/about/values-and-principles,research_results/documents/parsed/adcf7235f7f3bbc0db58cf35869d2d55.txt,adcf7235f7f3bbc0db58cf35869d2d55,21062,third_party:www.drupal.org,,,equity; diversity; inclusive; inclusion; accessibility,,applicable to; policy; governing; agreement,hiring; training; housing; community engagement
2,Other third-party,dockets.justia.com,text/html; charset=UTF-8,"U.S. District Court and U.S. Court of Appeals Cases, Dockets and Filings | Justia Dockets & Filings Log In Sign Up Find a Lawyer Ask a Lawyer Research the Law L",https://dockets.justia.com/,research_results/documents/parsed/9fd5bea8a1a6cb3ee89674f6d06a3d6c.txt,9fd5bea8a1a6cb3ee89674f6d06a3d6c,20868,third_party:dockets.justia.com,,,diversity,,policy; contract; standard; regulation,hiring; procurement; training; housing
2,Unclassified local PDF,,,| SE The Inclusion,file://research_results/documents/raw/c0a1fde5f3c0e6ae0a289cda132cc407.pdf,research_results/documents/parsed/c0a1fde5f3c0e6ae0a289cda132cc407.txt,c0a1fde5f3c0e6ae0a289cda132cc407,19371,third_party:batch_parallel,ocrmypdf_force+pdftotext,2025-12-31T03:31:52.575146,equity; diversity; inclusive; inclusion; dei,,must,hiring; training; housing; community engagement
2,Other third-party,www.charitynavigator.org,text/html; charset=utf-8,Charity Navigator - Rating for Race Forward Sign in/Create an account Sign Out Nonprofit Resources Support Charity Navigator Discover Charities Best Charities A,https://www.charitynavigator.org/ein/942759879,research_results/documents/parsed/17d6cf0baacf85a5dc3bdc2d4e886207.txt,17d6cf0baacf85a5dc3bdc2d4e886207,19229,third_party:www.charitynavigator.org,,,marginalized; diversity,,policy; governing; standard,hiring; housing
