candidate_type,candidate,domain,score,mentions,source_count,sample_sources
domain,give.org,give.org,75,18,9,research_results/third_party_downloads/www.bbb.org/www.bbb.org.html | research_results/third_party_downloads/www.bbb.org/www.bbb.org_31e49e4cd8.html | research_results/third_party_downloads/www.bbb.org/www.bbb.org_us_wa_vancouver_profile_property-management_quantum-residential-inc-1296-22139264.html | research_results/third_party_downloads/www.bbb.org/www.bbb.org_us_wa_vancouver_profile_property-management_quantum-residential-inc-1296-22139264_07f5d73c8a.html | research_results/third_party_downloads/www.charitynavigator.org/www.charitynavigator.org.html
org_name,Government Alliance,,75,37,37,research_results/documents/parsed/0907648c5876f269eb95f4122bbe6150.txt | research_results/documents/parsed/0a3c2fb7aaa8fce1b2fcc321ae18e5b9.txt | research_results/documents/parsed/0e1e03d72717fb6325339c86021d7ea8.txt | research_results/documents/parsed/11925ba57cc06a39fad9a6dc5a8cc1f0.txt | research_results/documents/parsed/181bd6ec8cfef085a9c88f92bf6a1ca5.txt
domain,sos.oregon.gov,sos.oregon.gov,74,71,17,research_results/documents/parsed/2cb743c45485324adc632bb0642bc614.txt | research_results/documents/parsed/39aacc6287ece4d98183827562496c5e.txt | research_results/oregon_documents/P1_Critical_Civil_Rights_oregon_administrative_rules.aspx | research_results/oregon_documents/P3_Regulatory_privacypolicy.aspx | research_results/oregon_documents/P3_Regulatory_system-requirements.aspx
domain,www.relatedcalifornia.com,www.relatedcalifornia.com,74,20,2,research_results/third_party_downloads/relatednorthwest.com/www.relatedcalifornia.com_our-company_related-northwest.html | research_results/third_party_downloads/relatednorthwest.com/www.relatedcalifornia.com_our-company_related-northwest_1120a89d8b.html
domain,api.us-e1.learnworlds.com,api.us-e1.learnworlds.com,74,8,8,research_results/third_party_downloads/obiu.org/obiu.org.html | research_results/third_party_downloads/obiu.org/obiu.org_4ba94aeb9f.html | research_results/third_party_downloads/obiu.org/obiu.org_9fdd6f809a.html | research_results/third_party_downloads/obiu.org/obiu.org_about.html | research_results/third_party_downloads/obiu.org/obiu.org_course_stages-of-targeted-univeralism-part2.html
domain,medialibrary.mycourse.app,medialibrary.mycourse.app,74,8,8,research_results/third_party_downloads/obiu.org/obiu.org.html | research_results/third_party_downloads/obiu.org/obiu.org_4ba94aeb9f.html | research_results/third_party_downloads/obiu.org/obiu.org_9fdd6f809a.html | research_results/third_party_downloads/obiu.org/obiu.org_about.html | research_results/third_party_downloads/obiu.org/obiu.org_course_stages-of-targeted-univeralism-part2.html
domain,js.stripe.com,js.stripe.com,74,8,8,research_results/third_party_downloads/obiu.org/obiu.org.html | research_results/third_party_downloads/obiu.org/obiu.org_4ba94aeb9f.html | research_results/third_party_downloads/obiu.org/obiu.org_9fdd6f809a.html | research_results/third_party_downloads/obiu.org/obiu.org_about.html | research_results/third_party_downloads/obiu.org/obiu.org_course_stages-of-targeted-univeralism-part2.html
domain,www.learnworlds.com,www.learnworlds.com,74,8,8,research_results/third_party_downloads/obiu.org/obiu.org.html | research_results/third_party_downloads/obiu.org/obiu.org_4ba94aeb9f.html | research_results/third_party_downloads/obiu.org/obiu.org_9fdd6f809a.html | research_results/third_party_downloads/obiu.org/obiu.org_about.html | research_results/third_party_downloads/obiu.org/obiu.org_course_stages-of-targeted-univeralism-part2.html
org_name,AIIM Swag Shop Blog Buyers' Guide Job Center,,74,20,20,research_results/documents/parsed/299048dd9e792f786bd209f6a853333c.txt | research_results/documents/parsed/46b383e71dafa3dc6638d1628246acfe.txt | research_results/documents/parsed/771c7d7a5f6fdc434ec6ec3c289c329d.txt | research_results/documents/parsed/7a303e3155bc803621b77ec1cbf20929.txt | research_results/documents/parsed/937374b235c61ee1f6081afde70f0ce0.txt
org_name,Partners Resource Center,,74,20,20,research_results/documents/parsed/299048dd9e792f786bd209f6a853333c.txt | research_results/documents/parsed/46b383e71dafa3dc6638d1628246acfe.txt | research_results/documents/parsed/771c7d7a5f6fdc434ec6ec3c289c329d.txt | research_results/documents/parsed/7a303e3155bc803621b77ec1cbf20929.txt | research_results/documents/parsed/937374b235c61ee1f6081afde70f0ce0.txt
