document_id,file_path,risk_score,dei_keywords,proxy_keywords,binding_keywords,applicability_tags,text_length
1bb15fecc239f35d9ee2fc03e86de86b,research_results/documents/parsed/1bb15fecc239f35d9ee2fc03e86de86b.txt,2,diversity; equity,,policy; statewide,hiring; procurement,9213
a190e1e7829daedea88c07cffb922811,research_results/documents/parsed/a190e1e7829daedea88c07cffb922811.txt,2,equity,,policy; applicable to; must,hiring; training; housing,10278
5184c7c35874f7f32dd9b11fd5c0851e,research_results/documents/parsed/5184c7c35874f7f32dd9b11fd5c0851e.txt,2,diversity,,standard; applicable to; required,hiring; procurement; training; housing,50333
18a4457561e7c756d769d5af38c56b27,research_results/documents/parsed/18a4457561e7c756d769d5af38c56b27.txt,2,dei,,standard; required,procurement; training,63193
5148e0039f816c8b620f360dfaa24d24,research_results/documents/parsed/5148e0039f816c8b620f360dfaa24d24.txt,2,diversity; inclusion,,policy,training,5390
1171b9007c447304c2078fde38778fb3,research_results/documents/parsed/1171b9007c447304c2078fde38778fb3.txt,2,dei,,policy; contract,procurement; housing,4636
301c581abbfcce15c8336a36b2946da3,research_results/documents/parsed/301c581abbfcce15c8336a36b2946da3.txt,2,diversity; dei; inclusion; equity,,policy; shall,hiring; training,6892
98c9506cf4fdebe9ad866266418748db,research_results/documents/parsed/98c9506cf4fdebe9ad866266418748db.txt,2,diversity,,policy,hiring; procurement; housing,2035
13a8dbfefb0e62ac8f3861aa3b6c4758,research_results/documents/parsed/13a8dbfefb0e62ac8f3861aa3b6c4758.txt,2,equity,,policy,procurement; training; housing,5019
b03119e6b8cde2b7df224e42d8cdd827,research_results/documents/parsed/b03119e6b8cde2b7df224e42d8cdd827.txt,2,equity,,must,training; housing,7547
07191d2e982a998b5c108d04213e94bb,research_results/documents/parsed/07191d2e982a998b5c108d04213e94bb.txt,2,dei,,contract; agreement; must,hiring; procurement; housing,18226
f6741790087ba13efcf09ff18aaee9d6,research_results/documents/parsed/f6741790087ba13efcf09ff18aaee9d6.txt,2,diversity; inclusion,,contract; shall; required,procurement; housing,7916
3d2f61921dcdc94801c90a0fee237047,research_results/documents/parsed/3d2f61921dcdc94801c90a0fee237047.txt,2,equity,,policy,housing,1358
11925ba57cc06a39fad9a6dc5a8cc1f0,research_results/documents/parsed/11925ba57cc06a39fad9a6dc5a8cc1f0.txt,2,equity,,policy,,913
9e9cb48c1174c31afed273d1a674e5ba,research_results/documents/parsed/9e9cb48c1174c31afed273d1a674e5ba.txt,2,diversity,,standard; required,hiring; procurement; training; housing,67813
